total_timestamp;timestamp;ORCHIDS;TRANSPORT_FEES;EXPORT_TARIFF;IMPORT_TARIFF;SUNLIGHT;HUMIDITY;DAY
1000000;0;1200.0;1.5;10.5;-2.0;2500.0;79.0;-1
1000100;100;1201.75;1.5;9.5;-2.0;2499.4197;79.0041;-1
1000200;200;1201.75;1.5;9.5;-2.0;2498.8457;79.00821;-1
1000300;300;1201.75;1.5;9.5;-2.0;2498.278;79.01234;-1
1000400;400;1201.75;1.5;9.5;-2.0;2497.7166;79.01649;-1
1000500;500;1200.25;1.5;9.5;-2.0;2497.1614;79.02066;-1
1000600;600;1201.75;1.5;9.5;-2.0;2496.6125;79.02485;-1
1000700;700;1202.75;1.5;9.5;-2.0;2496.0698;79.02906;-1
1000800;800;1204.75;1.5;9.5;-2.0;2495.5334;79.03329;-1
1000900;900;1204.25;1.5;9.5;-2.0;2495.0032;79.03754;-1
1001000;1000;1203.25;1.5;9.5;-2.0;2494.4792;79.04181;-1
1001100;1100;1202.75;1.5;9.5;-2.0;2493.9614;79.0461;-1
1001200;1200;1201.75;1.5;9.5;-2.0;2493.45;79.0504;-1
1001300;1300;1199.75;1.5;9.5;-2.0;2492.9446;79.054726;-1
1001400;1400;1199.75;1.5;9.5;-2.0;2492.4453;79.05907;-1
1001500;1500;1199.75;1.5;9.5;-2.0;2491.9521;79.06343;-1
1001600;1600;1199.75;1.5;9.5;-2.0;2491.4653;79.06782;-1
1001700;1700;1198.25;1.5;9.5;-2.0;2490.9846;79.07222;-1
1001800;1800;1199.25;1.5;9.5;-2.0;2490.51;79.07664;-1
1001900;1900;1197.75;1.5;9.5;-2.0;2490.0415;79.08108;-1
1002000;2000;1197.75;1.5;9.5;-2.0;2489.579;79.08554;-1
1002100;2100;1197.75;1.5;9.5;-2.0;2489.123;79.09002;-1
1002200;2200;1198.0;1.5;9.5;-2.0;2488.6729;79.09451;-1
1002300;2300;1197.25;1.5;9.5;-2.0;2488.2288;79.09903;-1
1002400;2400;1196.25;1.5;9.5;-2.0;2487.7908;79.10357;-1
1002500;2500;1197.25;1.5;9.5;-2.0;2487.359;79.10812;-1
1002600;2600;1196.25;1.5;9.5;-2.0;2486.933;79.11269;-1
1002700;2700;1196.25;1.5;9.5;-2.0;2486.5134;79.11729;-1
1002800;2800;1197.25;1.4;9.5;-2.0;2486.0996;79.121895;-1
1002900;2900;1196.25;1.4;9.5;-2.0;2485.6921;79.126526;-1
1003000;3000;1196.75;1.4;9.5;-2.0;2485.2903;79.13118;-1
1003100;3100;1197.75;1.4;9.5;-2.0;2484.8948;79.13584;-1
1003200;3200;1198.75;1.4;9.5;-2.0;2484.5051;79.14053;-1
1003300;3300;1199.75;1.4;9.5;-2.0;2484.1216;79.14523;-1
1003400;3400;1199.75;1.4;9.5;-2.0;2483.744;79.149956;-1
1003500;3500;1199.5;1.4;9.5;-2.0;2483.3723;79.1547;-1
1003600;3600;1199.5;1.4;9.5;-2.0;2483.0066;79.15946;-1
1003700;3700;1199.75;1.4;9.5;-2.0;2482.647;79.164246;-1
1003800;3800;1199.25;1.4;9.5;-2.0;2482.2932;79.169044;-1
1003900;3900;1198.25;1.4;9.5;-2.0;2481.9453;79.17386;-1
1004000;4000;1199.25;1.4;9.5;-2.0;2481.6035;79.178696;-1
1004100;4100;1199.25;1.4;9.5;-2.0;2481.2676;79.18355;-1
1004200;4200;1199.75;1.4;9.5;-2.0;2480.9375;79.18842;-1
1004300;4300;1201.25;1.4;9.5;-2.0;2480.6133;79.19331;-1
1004400;4400;1201.75;1.4;9.5;-2.0;2480.2952;79.19823;-1
1004500;4500;1201.75;1.4;9.5;-2.0;2479.9827;79.203156;-1
1004600;4600;1201.75;1.4;9.5;-2.0;2479.6763;79.2081;-1
1004700;4700;1201.75;1.4;9.5;-2.0;2479.3755;79.213066;-1
1004800;4800;1201.25;1.4;9.5;-2.0;2479.0808;79.21805;-1
1004900;4900;1201.25;1.4;9.5;-2.0;2478.792;79.22305;-1
1005000;5000;1201.0;1.4;9.5;-2.0;2478.5088;79.22807;-1
1005100;5100;1200.25;1.4;9.5;-2.0;2478.2317;79.23311;-1
1005200;5200;1200.25;1.4;9.5;-2.0;2477.9602;79.23817;-1
1005300;5300;1200.75;1.4;9.5;-2.0;2477.6946;79.24324;-1
1005400;5400;1201.0;1.4;9.5;-2.0;2477.4348;79.24834;-1
1005500;5500;1201.0;1.4;9.5;-2.0;2477.181;79.25345;-1
1005600;5600;1200.25;1.4;9.5;-2.0;2476.9326;79.258575;-1
1005700;5700;1199.75;1.4;9.5;-2.0;2476.6902;79.263725;-1
1005800;5800;1198.25;1.4;9.5;-2.0;2476.4536;79.26889;-1
1005900;5900;1198.75;1.4;9.5;-2.0;2476.2227;79.27408;-1
1006000;6000;1197.75;1.4;9.5;-2.0;2475.9973;79.27928;-1
1006100;6100;1197.75;1.4;9.5;-2.0;2475.778;79.2845;-1
1006200;6200;1197.5;1.4;9.5;-2.2;2475.5642;79.28974;-1
1006300;6300;1197.25;1.4;9.5;-2.2;2475.3562;79.295;-1
1006400;6400;1199.25;1.4;9.5;-2.2;2475.154;79.30028;-1
1006500;6500;1199.75;1.4;9.5;-2.2;2474.9573;79.305565;-1
1006600;6600;1200.0;1.4;9.5;-2.2;2474.7666;79.31088;-1
1006700;6700;1200.0;1.4;9.5;-2.2;2474.5813;79.31621;-1
1006800;6800;1200.0;1.4;9.5;-2.2;2474.4016;79.321556;-1
1006900;6900;1201.25;1.4;9.5;-2.2;2474.2278;79.32692;-1
1007000;7000;1201.0;1.4;9.5;-2.2;2474.0596;79.332306;-1
1007100;7100;1199.75;1.4;9.5;-2.2;2473.897;79.33771;-1
1007200;7200;1198.75;1.4;9.5;-2.2;2473.74;79.343124;-1
1007300;7300;1200.25;1.4;9.5;-2.2;2473.5886;79.348564;-1
1007400;7400;1200.25;1.4;9.5;-2.2;2473.4429;79.35401;-1
1007500;7500;1200.5;1.4;9.5;-2.2;2473.3027;79.35949;-1
1007600;7600;1201.25;1.4;9.5;-2.2;2473.1682;79.364975;-1
1007700;7700;1198.75;1.4;9.5;-2.2;2473.0393;79.37048;-1
1007800;7800;1198.75;1.4;9.5;-2.2;2472.916;79.376015;-1
1007900;7900;1199.25;1.4;9.5;-2.2;2472.7983;79.38155;-1
1008000;8000;1199.25;1.4;9.5;-2.2;2472.686;79.387115;-1
1008100;8100;1199.5;1.4;9.5;-2.2;2472.5793;79.39269;-1
1008200;8200;1200.75;1.4;9.5;-2.2;2472.4783;79.39829;-1
1008300;8300;1199.25;1.4;9.5;-2.2;2472.3826;79.40391;-1
1008400;8400;1199.0;1.4;9.5;-2.2;2472.2925;79.40954;-1
1008500;8500;1199.25;1.4;9.5;-2.2;2472.2078;79.415184;-1
1008600;8600;1198.25;1.4;9.5;-2.2;2472.1287;79.42085;-1
1008700;8700;1197.75;1.4;9.5;-2.2;2472.0552;79.42654;-1
1008800;8800;1196.75;1.4;9.5;-2.2;2471.987;79.432236;-1
1008900;8900;1197.0;1.4;9.5;-2.2;2471.9243;79.43796;-1
1009000;9000;1197.0;1.4;9.5;-2.2;2471.8672;79.443695;-1
1009100;9100;1196.75;1.4;9.5;-2.2;2471.8154;79.44945;-1
1009200;9200;1197.0;1.4;9.5;-2.2;2471.7693;79.455215;-1
1009300;9300;1197.75;1.4;9.5;-2.2;2471.7285;79.461006;-1
1009400;9400;1197.75;1.4;9.5;-2.2;2471.6929;79.46681;-1
1009500;9500;1197.5;1.4;9.5;-2.2;2471.663;79.47263;-1
1009600;9600;1195.75;1.4;9.5;-2.2;2471.6384;79.47848;-1
