total_timestamp;timestamp;buyer;seller;symbol;currency;price;quantity;day
0;0;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
0;0;;;STARFRUIT;SEASHELLS;5003.0;1;-2
0;0;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
100;100;;;STARFRUIT;SEASHELLS;5004.0;6;-2
900;900;;;STARFRUIT;SEASHELLS;5001.0;2;-2
1000;1000;;;STARFRUIT;SEASHELLS;4997.0;2;-2
1100;1100;;;STARFRUIT;SEASHELLS;4997.0;1;-2
1500;1500;;;STARFRUIT;SEASHELLS;5003.0;1;-2
1500;1500;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
1800;1800;;;STARFRUIT;SEASHELLS;5001.0;10;-2
1800;1800;;;STARFRUIT;SEASHELLS;5001.0;1;-2
1800;1800;;;STARFRUIT;SEASHELLS;5002.0;1;-2
2000;2000;;;STARFRUIT;SEASHELLS;5002.0;1;-2
2100;2100;;;STARFRUIT;SEASHELLS;5001.0;4;-2
2500;2500;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
2500;2500;;;STARFRUIT;SEASHELLS;4996.0;11;-2
3200;3200;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
3200;3200;;;STARFRUIT;SEASHELLS;4996.0;1;-2
3300;3300;;;STARFRUIT;SEASHELLS;4997.0;2;-2
3300;3300;;;AMETHYSTS;SEASHELLS;9995.0;2;-2
3600;3600;;;AMETHYSTS;SEASHELLS;10005.0;6;-2
3900;3900;;;STARFRUIT;SEASHELLS;5002.0;1;-2
4000;4000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
4200;4200;;;AMETHYSTS;SEASHELLS;10004.0;2;-2
4200;4200;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
4200;4200;;;STARFRUIT;SEASHELLS;4998.0;1;-2
4400;4400;;;STARFRUIT;SEASHELLS;5002.0;2;-2
4500;4500;;;STARFRUIT;SEASHELLS;4997.0;8;-2
4500;4500;;;STARFRUIT;SEASHELLS;4997.0;1;-2
5800;5800;;;STARFRUIT;SEASHELLS;4999.0;7;-2
6500;6500;;;STARFRUIT;SEASHELLS;5000.0;5;-2
6600;6600;;;STARFRUIT;SEASHELLS;4999.0;1;-2
6700;6700;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
6700;6700;;;STARFRUIT;SEASHELLS;4998.0;2;-2
6700;6700;;;STARFRUIT;SEASHELLS;4999.0;4;-2
7100;7100;;;STARFRUIT;SEASHELLS;4999.0;5;-2
7200;7200;;;STARFRUIT;SEASHELLS;5005.0;4;-2
7300;7300;;;STARFRUIT;SEASHELLS;4998.0;1;-2
7400;7400;;;STARFRUIT;SEASHELLS;5005.0;1;-2
7400;7400;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
7400;7400;;;STARFRUIT;SEASHELLS;5003.0;1;-2
7500;7500;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
7800;7800;;;STARFRUIT;SEASHELLS;5002.0;1;-2
7800;7800;;;STARFRUIT;SEASHELLS;5002.0;1;-2
8600;8600;;;STARFRUIT;SEASHELLS;5004.0;1;-2
8600;8600;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
8700;8700;;;STARFRUIT;SEASHELLS;5002.0;9;-2
8700;8700;;;STARFRUIT;SEASHELLS;5004.0;2;-2
8700;8700;;;AMETHYSTS;SEASHELLS;10002.0;2;-2
8800;8800;;;STARFRUIT;SEASHELLS;5003.0;1;-2
8800;8800;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
9600;9600;;;AMETHYSTS;SEASHELLS;10000.0;3;-2
10100;10100;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
10200;10200;;;STARFRUIT;SEASHELLS;4996.0;1;-2
10200;10200;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
11100;11100;;;AMETHYSTS;SEASHELLS;10005.0;2;-2
11100;11100;;;STARFRUIT;SEASHELLS;5005.0;12;-2
11100;11100;;;STARFRUIT;SEASHELLS;5005.0;2;-2
11300;11300;;;STARFRUIT;SEASHELLS;4998.0;1;-2
11400;11400;;;STARFRUIT;SEASHELLS;4997.0;1;-2
12000;12000;;;STARFRUIT;SEASHELLS;4999.0;2;-2
12000;12000;;;STARFRUIT;SEASHELLS;4999.0;2;-2
13000;13000;;;STARFRUIT;SEASHELLS;5001.0;2;-2
13000;13000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
13500;13500;;;STARFRUIT;SEASHELLS;4998.0;1;-2
13600;13600;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
13900;13900;;;STARFRUIT;SEASHELLS;4998.0;2;-2
13900;13900;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
13900;13900;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
14000;14000;;;AMETHYSTS;SEASHELLS;10005.0;7;-2
14300;14300;;;STARFRUIT;SEASHELLS;4998.0;1;-2
15000;15000;;;STARFRUIT;SEASHELLS;4998.0;1;-2
15100;15100;;;AMETHYSTS;SEASHELLS;10005.0;4;-2
15400;15400;;;AMETHYSTS;SEASHELLS;10002.0;5;-2
16400;16400;;;STARFRUIT;SEASHELLS;4998.0;6;-2
17000;17000;;;STARFRUIT;SEASHELLS;5003.0;9;-2
17200;17200;;;STARFRUIT;SEASHELLS;4996.0;1;-2
17300;17300;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
17400;17400;;;STARFRUIT;SEASHELLS;5003.0;10;-2
18000;18000;;;STARFRUIT;SEASHELLS;5002.0;4;-2
18100;18100;;;STARFRUIT;SEASHELLS;4996.0;1;-2
18200;18200;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
18200;18200;;;STARFRUIT;SEASHELLS;4996.0;8;-2
18300;18300;;;AMETHYSTS;SEASHELLS;10005.0;2;-2
18300;18300;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
18300;18300;;;STARFRUIT;SEASHELLS;5000.0;2;-2
18500;18500;;;AMETHYSTS;SEASHELLS;10005.0;5;-2
18600;18600;;;STARFRUIT;SEASHELLS;4996.0;1;-2
19200;19200;;;STARFRUIT;SEASHELLS;4996.0;1;-2
19400;19400;;;STARFRUIT;SEASHELLS;4996.0;1;-2
19500;19500;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
19600;19600;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
19900;19900;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
20200;20200;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
20300;20300;;;STARFRUIT;SEASHELLS;5002.0;1;-2
20600;20600;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
20600;20600;;;AMETHYSTS;SEASHELLS;9995.0;9;-2
20900;20900;;;STARFRUIT;SEASHELLS;5002.0;1;-2
20900;20900;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
21300;21300;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
21300;21300;;;STARFRUIT;SEASHELLS;5002.0;1;-2
21400;21400;;;STARFRUIT;SEASHELLS;5001.0;1;-2
21800;21800;;;STARFRUIT;SEASHELLS;5001.0;1;-2
22300;22300;;;STARFRUIT;SEASHELLS;4997.0;1;-2
22700;22700;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
22900;22900;;;STARFRUIT;SEASHELLS;4998.0;2;-2
23000;23000;;;AMETHYSTS;SEASHELLS;9998.0;4;-2
23100;23100;;;STARFRUIT;SEASHELLS;5001.0;1;-2
23300;23300;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
23900;23900;;;AMETHYSTS;SEASHELLS;9998.0;3;-2
23900;23900;;;AMETHYSTS;SEASHELLS;9995.0;8;-2
24000;24000;;;STARFRUIT;SEASHELLS;5001.0;3;-2
24200;24200;;;STARFRUIT;SEASHELLS;4996.0;5;-2
24300;24300;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
24500;24500;;;STARFRUIT;SEASHELLS;5002.0;1;-2
24600;24600;;;AMETHYSTS;SEASHELLS;9996.0;2;-2
24600;24600;;;AMETHYSTS;SEASHELLS;9996.0;2;-2
24700;24700;;;STARFRUIT;SEASHELLS;5001.0;6;-2
25100;25100;;;STARFRUIT;SEASHELLS;5001.0;1;-2
25100;25100;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
25400;25400;;;STARFRUIT;SEASHELLS;4995.0;7;-2
25600;25600;;;STARFRUIT;SEASHELLS;4999.0;2;-2
25600;25600;;;AMETHYSTS;SEASHELLS;10004.0;2;-2
25700;25700;;;AMETHYSTS;SEASHELLS;10002.0;3;-2
25700;25700;;;AMETHYSTS;SEASHELLS;10002.0;8;-2
26300;26300;;;STARFRUIT;SEASHELLS;4994.0;1;-2
26400;26400;;;STARFRUIT;SEASHELLS;4994.0;1;-2
26400;26400;;;AMETHYSTS;SEASHELLS;10005.0;9;-2
26700;26700;;;STARFRUIT;SEASHELLS;4998.0;1;-2
27000;27000;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
27000;27000;;;STARFRUIT;SEASHELLS;4993.0;4;-2
27200;27200;;;STARFRUIT;SEASHELLS;4991.0;1;-2
27300;27300;;;STARFRUIT;SEASHELLS;4998.0;11;-2
27700;27700;;;AMETHYSTS;SEASHELLS;9998.0;3;-2
27700;27700;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
27900;27900;;;AMETHYSTS;SEASHELLS;10002.0;4;-2
28000;28000;;;STARFRUIT;SEASHELLS;4999.0;1;-2
28000;28000;;;AMETHYSTS;SEASHELLS;10005.0;1;-2
28300;28300;;;STARFRUIT;SEASHELLS;4997.0;1;-2
28300;28300;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
28300;28300;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
28600;28600;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
29400;29400;;;AMETHYSTS;SEASHELLS;10005.0;2;-2
29400;29400;;;STARFRUIT;SEASHELLS;4998.0;2;-2
29500;29500;;;AMETHYSTS;SEASHELLS;9998.0;3;-2
29500;29500;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
29900;29900;;;STARFRUIT;SEASHELLS;4995.0;1;-2
30300;30300;;;STARFRUIT;SEASHELLS;4996.0;1;-2
30400;30400;;;STARFRUIT;SEASHELLS;4991.0;1;-2
30400;30400;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
30400;30400;;;AMETHYSTS;SEASHELLS;10004.0;6;-2
30900;30900;;;STARFRUIT;SEASHELLS;4992.0;1;-2
31000;31000;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
31000;31000;;;STARFRUIT;SEASHELLS;4992.0;1;-2
31200;31200;;;STARFRUIT;SEASHELLS;4992.0;1;-2
31300;31300;;;STARFRUIT;SEASHELLS;4997.0;1;-2
31300;31300;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
31400;31400;;;STARFRUIT;SEASHELLS;4999.0;4;-2
31600;31600;;;AMETHYSTS;SEASHELLS;10002.0;3;-2
31800;31800;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
32100;32100;;;STARFRUIT;SEASHELLS;4991.0;1;-2
32100;32100;;;AMETHYSTS;SEASHELLS;10002.0;4;-2
32500;32500;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
32700;32700;;;STARFRUIT;SEASHELLS;4996.0;1;-2
32800;32800;;;STARFRUIT;SEASHELLS;4990.0;2;-2
32800;32800;;;STARFRUIT;SEASHELLS;4991.0;2;-2
32800;32800;;;AMETHYSTS;SEASHELLS;9995.0;2;-2
32800;32800;;;AMETHYSTS;SEASHELLS;9996.0;2;-2
33200;33200;;;STARFRUIT;SEASHELLS;4990.0;1;-2
33300;33300;;;STARFRUIT;SEASHELLS;4995.0;1;-2
33300;33300;;;STARFRUIT;SEASHELLS;4991.0;8;-2
33500;33500;;;AMETHYSTS;SEASHELLS;10002.0;3;-2
33900;33900;;;STARFRUIT;SEASHELLS;4995.0;1;-2
34000;34000;;;STARFRUIT;SEASHELLS;4995.0;1;-2
34000;34000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
34100;34100;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
35000;35000;;;STARFRUIT;SEASHELLS;4993.0;4;-2
35300;35300;;;STARFRUIT;SEASHELLS;4993.0;1;-2
35600;35600;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
35800;35800;;;STARFRUIT;SEASHELLS;4993.0;1;-2
36200;36200;;;STARFRUIT;SEASHELLS;4994.0;3;-2
36300;36300;;;STARFRUIT;SEASHELLS;4999.0;1;-2
36300;36300;;;AMETHYSTS;SEASHELLS;10005.0;1;-2
36500;36500;;;AMETHYSTS;SEASHELLS;10005.0;4;-2
36800;36800;;;STARFRUIT;SEASHELLS;4993.0;1;-2
37200;37200;;;STARFRUIT;SEASHELLS;4998.0;10;-2
37400;37400;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
37900;37900;;;AMETHYSTS;SEASHELLS;9995.0;4;-2
38000;38000;;;STARFRUIT;SEASHELLS;4991.0;11;-2
38400;38400;;;AMETHYSTS;SEASHELLS;10004.0;2;-2
38500;38500;;;AMETHYSTS;SEASHELLS;10002.0;6;-2
38500;38500;;;STARFRUIT;SEASHELLS;4996.0;1;-2
38800;38800;;;STARFRUIT;SEASHELLS;4993.0;5;-2
38900;38900;;;STARFRUIT;SEASHELLS;4991.0;2;-2
38900;38900;;;AMETHYSTS;SEASHELLS;9995.0;2;-2
39100;39100;;;AMETHYSTS;SEASHELLS;10002.0;5;-2
39300;39300;;;STARFRUIT;SEASHELLS;4993.0;1;-2
39300;39300;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
39400;39400;;;STARFRUIT;SEASHELLS;4993.0;1;-2
39500;39500;;;STARFRUIT;SEASHELLS;4998.0;1;-2
39800;39800;;;STARFRUIT;SEASHELLS;4993.0;4;-2
40100;40100;;;STARFRUIT;SEASHELLS;4992.0;1;-2
40200;40200;;;STARFRUIT;SEASHELLS;4997.0;5;-2
40300;40300;;;STARFRUIT;SEASHELLS;4994.0;2;-2
40600;40600;;;STARFRUIT;SEASHELLS;4992.0;1;-2
40700;40700;;;STARFRUIT;SEASHELLS;4996.0;3;-2
40900;40900;;;STARFRUIT;SEASHELLS;4992.0;3;-2
41100;41100;;;STARFRUIT;SEASHELLS;4991.0;1;-2
41100;41100;;;STARFRUIT;SEASHELLS;4995.0;9;-2
41500;41500;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
41500;41500;;;AMETHYSTS;SEASHELLS;10000.0;2;-2
41600;41600;;;AMETHYSTS;SEASHELLS;9995.0;1;-2
41600;41600;;;STARFRUIT;SEASHELLS;4990.0;1;-2
42900;42900;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
42900;42900;;;STARFRUIT;SEASHELLS;4993.0;1;-2
43100;43100;;;STARFRUIT;SEASHELLS;4994.0;2;-2
43100;43100;;;STARFRUIT;SEASHELLS;4989.0;14;-2
43100;43100;;;AMETHYSTS;SEASHELLS;10005.0;2;-2
43400;43400;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
43500;43500;;;STARFRUIT;SEASHELLS;4990.0;1;-2
43700;43700;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
43900;43900;;;STARFRUIT;SEASHELLS;4990.0;1;-2
43900;43900;;;STARFRUIT;SEASHELLS;4997.0;2;-2
43900;43900;;;AMETHYSTS;SEASHELLS;10004.0;2;-2
44000;44000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
44700;44700;;;STARFRUIT;SEASHELLS;4995.0;1;-2
44800;44800;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
45100;45100;;;STARFRUIT;SEASHELLS;4988.0;1;-2
45100;45100;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
45800;45800;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
45800;45800;;;AMETHYSTS;SEASHELLS;9996.0;10;-2
46200;46200;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
46300;46300;;;AMETHYSTS;SEASHELLS;9995.0;1;-2
46300;46300;;;STARFRUIT;SEASHELLS;4987.0;1;-2
46800;46800;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
46800;46800;;;STARFRUIT;SEASHELLS;4987.0;1;-2
46800;46800;;;STARFRUIT;SEASHELLS;4986.0;2;-2
47200;47200;;;STARFRUIT;SEASHELLS;4992.0;1;-2
47300;47300;;;STARFRUIT;SEASHELLS;4988.0;2;-2
47700;47700;;;STARFRUIT;SEASHELLS;4988.0;1;-2
48300;48300;;;STARFRUIT;SEASHELLS;4988.0;1;-2
48300;48300;;;AMETHYSTS;SEASHELLS;9995.0;1;-2
48600;48600;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
48600;48600;;;STARFRUIT;SEASHELLS;4989.0;1;-2
48600;48600;;;STARFRUIT;SEASHELLS;4994.0;1;-2
48900;48900;;;STARFRUIT;SEASHELLS;4988.0;1;-2
49300;49300;;;STARFRUIT;SEASHELLS;4994.0;1;-2
49300;49300;;;AMETHYSTS;SEASHELLS;10005.0;1;-2
49700;49700;;;STARFRUIT;SEASHELLS;4988.0;2;-2
49700;49700;;;AMETHYSTS;SEASHELLS;9995.0;2;-2
49900;49900;;;STARFRUIT;SEASHELLS;4986.0;1;-2
50000;50000;;;STARFRUIT;SEASHELLS;4986.0;5;-2
50200;50200;;;STARFRUIT;SEASHELLS;4986.0;1;-2
50200;50200;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
50300;50300;;;STARFRUIT;SEASHELLS;4986.0;1;-2
50400;50400;;;AMETHYSTS;SEASHELLS;9996.0;2;-2
50400;50400;;;STARFRUIT;SEASHELLS;4986.0;2;-2
50900;50900;;;AMETHYSTS;SEASHELLS;9996.0;2;-2
51000;51000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
51000;51000;;;STARFRUIT;SEASHELLS;4986.0;1;-2
51300;51300;;;STARFRUIT;SEASHELLS;4990.0;1;-2
51600;51600;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
51600;51600;;;STARFRUIT;SEASHELLS;4990.0;1;-2
51900;51900;;;AMETHYSTS;SEASHELLS;10002.0;2;-2
52000;52000;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
52200;52200;;;STARFRUIT;SEASHELLS;4985.0;1;-2
52300;52300;;;STARFRUIT;SEASHELLS;4985.0;1;-2
52700;52700;;;AMETHYSTS;SEASHELLS;10002.0;3;-2
53000;53000;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
53200;53200;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
53300;53300;;;AMETHYSTS;SEASHELLS;9998.0;2;-2
53600;53600;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
53600;53600;;;STARFRUIT;SEASHELLS;4985.0;1;-2
53700;53700;;;STARFRUIT;SEASHELLS;4992.0;2;-2
53700;53700;;;AMETHYSTS;SEASHELLS;10004.0;2;-2
53900;53900;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
54300;54300;;;STARFRUIT;SEASHELLS;4986.0;11;-2
54300;54300;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
54600;54600;;;AMETHYSTS;SEASHELLS;9996.0;1;-2
54600;54600;;;AMETHYSTS;SEASHELLS;9996.0;5;-2
54600;54600;;;STARFRUIT;SEASHELLS;4986.0;1;-2
54700;54700;;;STARFRUIT;SEASHELLS;4990.0;1;-2
54900;54900;;;AMETHYSTS;SEASHELLS;10002.0;3;-2
55200;55200;;;STARFRUIT;SEASHELLS;4989.0;1;-2
56100;56100;;;STARFRUIT;SEASHELLS;4990.0;14;-2
56100;56100;;;STARFRUIT;SEASHELLS;4990.0;1;-2
56100;56100;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
56300;56300;;;STARFRUIT;SEASHELLS;4983.0;1;-2
56500;56500;;;STARFRUIT;SEASHELLS;4982.0;1;-2
56500;56500;;;AMETHYSTS;SEASHELLS;9998.0;1;-2
56700;56700;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
57000;57000;;;AMETHYSTS;SEASHELLS;10004.0;1;-2
57000;57000;;;STARFRUIT;SEASHELLS;4989.0;1;-2
57100;57100;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
57100;57100;;;STARFRUIT;SEASHELLS;4985.0;3;-2
57200;57200;;;STARFRUIT;SEASHELLS;4985.0;4;-2
57200;57200;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
57300;57300;;;AMETHYSTS;SEASHELLS;10002.0;1;-2
57400;57400;;;STARFRUIT;SEASHELLS;4990.0;1;-2
